id,zipcode,latitude,longitude,neighbourhood_cleansed,is_location_exact,bedrooms,room_type,bathrooms,beds,bed_type,accommodates,essentials,wifi,tv,kitchen,oven,cooking basics,heating,washer,host greets you,elevator,family/kid friendly,private living room,coffee maker,dishwasher,reviews_per_month,number_of_reviews,number_of_reviews_ltm,host_is_superhost,host_total_listings,host_identity_verified,host_since_years,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_365,is_instant_bookable,cancellation_policy,security_deposit,is_agency,cleaning_fee,price,kfold
40769059,75003.0,48.86141,2.3644700000000003,Temple,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1.85,8,8,0,0.0,0,0.41,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,56.0,88.0,3
13213115,75003.0,48.86447,2.35914,Temple,1,2.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0.67,32,0,0,1.0,1,3.96,2,1125,2,7,1125,1125,4.3,1125.0,0,1,flexible,security_deposit_1,0,82.0,209.0,3
731081,75010.0,48.87338,2.36605,Entrepôt,0,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0.64,58,12,1,1.0,1,9.23,2,1125,2,2,1125,1125,2.0,1125.0,118,0,moderate,security_deposit_1,0,,80.0,3
24080303,75018.0,48.88518,2.34891,Buttes-Montmartre,1,2.0,Entire home/apt,1.5,3.0,Bed,4,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0.18,4,0,0,1.0,0,6.08,5,15,5,5,15,15,5.0,15.0,0,1,moderate,security_deposit_n,0,50.0,75.0,3
22062019,75018.0,48.89543,2.34001,Buttes-Montmartre,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1.41,24,15,1,1.0,1,7.0,4,1125,4,4,1125,1125,4.0,1125.0,0,0,strict,security_deposit_1,0,0.0,70.0,3
14670412,75020.0,48.87153,2.39667,Ménilmontant,1,1.0,Entire home/apt,1.0,1.0,Bed,3,1,1,0,1,1,1,1,1,0,0,0,0,1,0,3.32,33,33,0,0.0,1,3.73,1,1125,1,1,1125,1125,1.0,1125.0,8,0,strict,security_deposit_0,0,10.0,65.0,3
14938883,75011.0,48.85885,2.38285,Popincourt,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1.35,37,14,1,1.0,1,6.79,2,14,2,2,14,14,2.0,14.0,4,0,moderate,security_deposit_1,0,30.0,120.0,3
32466157,75017.0,48.88993,2.31987,Batignolles-Monceau,1,1.0,Entire home/apt,1.0,1.0,Bed,3,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0.83,12,8,0,1.0,1,1.22,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,64.0,79.0,3
12675991,75009.0,48.8781,2.3416,Opéra,0,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0.48,17,9,1,1.0,1,5.75,2,1125,2,2,1125,1125,2.0,1125.0,0,0,moderate,security_deposit_1,0,30.0,120.0,3
20614280,75019.0,48.87469,2.38663,Buttes-Chaumont,1,1.0,Entire home/apt,1.0,1.0,Bed,3,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1.13,36,7,0,1.0,1,3.55,4,25,4,4,1125,1125,4.0,1125.0,22,0,strict,security_deposit_1,0,0.0,75.0,3
2389456,75012.0,48.84973,2.37567,Reuilly,1,1.0,Private room,1.0,1.0,Bed,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,,0,0,0,1.0,1,6.25,2,180,2,2,180,180,2.0,180.0,221,0,strict,security_deposit_1,0,10.0,80.0,3
36050400,75011.0,48.85213,2.3839,Popincourt,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0.12,1,1,0,1.0,1,0.88,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,56.0,74.0,3
26728315,75009.0,48.87907,2.32934,Opéra,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,4.84,98,54,1,7.0,1,4.18,1,30,1,1,1125,1125,1.0,1125.0,333,1,strict,security_deposit_1,1,39.0,85.0,3
28193837,75010.0,48.87234,2.36059,Entrepôt,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0.63,12,5,0,1.0,1,2.19,2,1125,2,2,1125,1125,2.0,1125.0,50,0,moderate,security_deposit_1,0,40.0,100.0,3
1833808,75004.0,48.85937,2.36086,Temple,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1.3,98,16,1,1.0,1,6.87,4,180,3,4,180,180,3.6,180.0,356,0,strict,security_deposit_1,0,75.0,179.0,3
35924388,75011.0,48.86666,2.36573,Popincourt,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,0,1,1,0,1,0,1,1,1,2.93,31,31,1,1.0,1,0.89,1,1125,1,2,1125,1125,1.3,1125.0,0,0,flexible,security_deposit_1,0,49.0,62.0,3
42923436,75116.0,48.87493,2.28523,Passy,1,2.0,Entire home/apt,1.0,3.0,Bed,4,1,1,1,1,0,0,1,1,0,1,0,0,0,0,,0,0,0,2.0,1,7.79,5,1125,5,5,1125,1125,5.0,1125.0,365,0,moderate,security_deposit_0,0,50.0,100.0,3
1666262,75010.0,48.86797,2.36305,Entrepôt,1,0.0,Entire home/apt,1.0,2.0,Bed,2,1,1,1,1,0,1,1,1,1,0,1,0,1,0,2.46,198,48,0,2.0,1,7.63,1,1125,1,1,1125,1125,1.0,1125.0,336,1,strict,security_deposit_1,0,25.0,72.0,3
272303,75003.0,48.86437,2.35479,Temple,1,1.0,Entire home/apt,1.0,1.0,Bed,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0.34,35,10,1,3.0,1,8.63,4,365,4,4,365,365,4.0,365.0,343,0,strict,security_deposit_1,0,0.0,125.0,3
17922663,75020.0,48.85935,2.40719,Ménilmontant,0,1.0,Private room,1.5,1.0,Bed,2,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1.86,69,25,0,1.0,1,4.99,2,12,1,2,12,12,1.9,12.0,83,0,moderate,security_deposit_1,0,4.0,37.0,3
39642982,75005.0,48.84924,2.35441,Panthéon,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,0,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,0.0,0,1.77,2,15,2,2,1125,1125,2.0,1125.0,7,1,strict,security_deposit_1,0,20.0,55.0,3
6814836,75003.0,48.86607,2.3626400000000003,Temple,1,2.0,Entire home/apt,2.0,3.0,Bed,6,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2.15,124,31,1,19.0,1,6.06,3,1125,3,5,1125,1125,3.1,1125.0,50,1,strict,security_deposit_1,1,0.0,95.0,3
17146290,75010.0,48.86809,2.36528,Popincourt,1,1.0,Entire home/apt,1.0,2.0,Bed,4,1,1,1,1,0,0,1,1,0,0,1,0,0,0,,0,0,0,39.0,1,7.26,5,31,3,5,31,31,4.4,31.0,110,0,strict,security_deposit_1,1,44.0,105.0,3
22190487,75001.0,48.85908,2.34537,Louvre,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0.45,13,3,0,1.0,1,4.76,28,80,28,28,80,80,28.0,80.0,79,0,flexible,security_deposit_1,0,0.0,65.0,3
40464278,75009.0,48.88183,2.33534,Opéra,1,0.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,0,1,1,0,0,0,0,0,1,0,2.76,15,15,0,7.0,1,0.45,1,120,1,1,120,120,1.0,120.0,180,1,strict,security_deposit_0,1,15.0,89.0,3
32326805,75005.0,48.85016,2.34836,Panthéon,1,1.0,Entire home/apt,1.0,1.0,Bed,2,1,1,1,1,1,1,0,1,0,0,0,0,1,1,,0,0,0,58.0,1,4.24,1,548,1,3,548,548,3.0,548.0,244,1,flexible,security_deposit_1,1,102.0,167.0,3
30615232,75002.0,48.86773,2.35248,Bourse,1,1.0,Entire home/apt,1.0,1.0,Bed,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2.52,11,11,0,0.0,0,1.43,1,1125,1,1,1125,1125,1.0,1125.0,148,1,strict,security_deposit_1,0,37.0,85.0,3
19338621,75019.0,48.87932,2.37432,Buttes-Chaumont,1,1.0,Entire home/apt,1.0,1.0,Bed,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0.17,6,1,0,2.0,0,4.67,5,1125,5,5,1125,1125,5.0,1125.0,252,0,flexible,security_deposit_1,0,,81.0,3
